id;title;item_type;content_type;content;passing_score
1;woot even;LESSON;YOUTUBE_VIDEO;fork fooey;26772
2;upon;LESSON;TEXT;joshingly;21370
3;what;LESSON;YOUTUBE_VIDEO;ferociously regarding;17014
4;anti necessary circa;LESSON;UPLOADED_VIDEO;idle highlight almighty;12116
5;except clamp ick;LESSON;TEXT;wisecrack madly indeed;27470
6;unfit;LESSON;UPLOADED_VIDEO;hypothesise conjecture than;28524
7;blah;LESSON;YOUTUBE_VIDEO;sentimental;25728
8;amongst given;TEST;UPLOADED_VIDEO;amongst;20373
9;dark tough;LESSON;UPLOADED_VIDEO;phooey though interestingly;26125
10;greatly wriggler;TEST;YOUTUBE_VIDEO;dash imaginative;31521
